ubigeo,total_fp,total_pl,total_validos,total_en_blanco,total_votos_nulos,total_votos_impugnados,total_votos_emitidos,total_primera_accion_popular,total_primera_app,total_primera_avanza_pais,total_democracia_directa,total_primera_frente_amplio,total_primera_fuerza_popular,total_primera_jpp,total_primera_somos,total_primera_partido_morado,total_primera_nacionalista,total_primera_peru_libre,total_primera_ppc,total_primera_pps,total_primera_podemos_peru,total_primera_renacimiento,total_renovacion_popular,total_upp,total_victoria_nacional,total_primera_blanco,total_primera_nulo
180301,13785,27125,40910,286,2326,0,43522,5853,1004,4611,169,139,2239,2538,787,559,427,10242,516,150,3285,162,3257,331,2125,4486,1897
180302,149,563,712,2,18,0,732,131,16,34,1,5,35,48,21,8,12,437,2,0,40,1,48,6,25,96,30
180303,2017,1377,3394,11,178,0,3583,594,50,897,5,2,102,239,106,75,12,187,99,10,134,5,410,9,264,187,122
190101,4151,11979,16130,109,1136,0,17375,1891,732,893,77,53,942,1074,273,270,202,5415,195,29,502,70,990,89,727,1508,998
190102,954,963,1917,15,87,0,2019,116,66,31,1,9,438,73,19,4,36,451,3,4,18,6,99,10,34,321,117
190103,900,2707,3607,34,165,0,3806,483,186,127,10,9,222,198,70,50,30,1220,9,9,146,23,223,45,149,579,208
190104,858,2942,3800,22,184,0,4006,528,125,140,12,12,254,188,63,53,41,1406,25,20,97,18,149,21,109,482,170
190105,550,2111,2661,24,105,0,2790,266,112,52,5,11,206,140,29,20,45,1153,14,5,39,24,95,18,38,350,123
190106,266,1056,1322,8,39,0,1369,107,71,32,0,3,83,83,32,17,15,504,2,5,27,4,36,14,29,195,47
190107,1496,5080,6576,47,285,0,6908,497,157,129,6,22,508,411,64,49,293,2295,86,13,129,82,284,52,135,1178,415
190108,578,2532,3110,16,132,0,3258,371,92,57,1,2,175,202,52,36,33,1150,10,3,69,8,93,25,93,347,211
190109,1319,5354,6673,39,369,0,7081,1009,204,251,8,20,417,607,73,91,64,2288,55,11,247,41,275,36,258,594,391
190110,294,925,1219,12,128,0,1359,136,52,11,0,0,98,78,12,9,12,367,2,0,24,4,24,27,57,245,110
190111,868,2633,3501,32,151,0,3684,637,137,138,14,12,218,143,53,33,28,1074,37,5,161,12,240,18,162,347,206
190112,713,1212,1925,9,84,0,2018,261,69,108,4,2,230,60,37,13,24,539,13,4,46,16,188,18,50,202,77
190113,3075,9990,13065,79,842,0,13986,1900,645,889,42,37,655,895,224,287,131,3950,130,28,411,80,828,68,673,1160,741
190201,880,5454,6334,48,298,0,6680,599,124,126,10,15,260,385,93,100,176,2942,21,7,104,23,192,27,120,872,656
190202,141,949,1090,9,48,0,1147,88,38,23,2,0,33,75,2,17,28,450,3,2,18,7,19,7,31,193,61
190203,46,282,328,4,20,0,352,42,13,3,0,0,16,31,5,3,2,143,0,0,7,0,5,4,14,45,12
